,well_row,assay_id,timepoint,rlu_value,treatment_id,well_column,sample_id
0,A,plate006,2.5,2858,DC3000 / bacterial PAMPs,1,plate006_A_1
1,A,plate006,5.0,1652,DC3000 / bacterial PAMPs,1,plate006_A_1
2,A,plate006,7.5,1440,DC3000 / bacterial PAMPs,1,plate006_A_1
3,A,plate006,10.0,1552,DC3000 / bacterial PAMPs,1,plate006_A_1
4,A,plate006,12.5,1780,DC3000 / bacterial PAMPs,1,plate006_A_1
5,A,plate006,15.0,2256,DC3000 / bacterial PAMPs,1,plate006_A_1
6,A,plate006,17.5,2974,DC3000 / bacterial PAMPs,1,plate006_A_1
7,A,plate006,20.0,3692,DC3000 / bacterial PAMPs,1,plate006_A_1
8,A,plate006,25.0,4339,DC3000 / bacterial PAMPs,1,plate006_A_1
9,A,plate006,27.5,5089,DC3000 / bacterial PAMPs,1,plate006_A_1
10,A,plate006,30.0,5337,DC3000 / bacterial PAMPs,1,plate006_A_1
11,A,plate006,32.5,5989,DC3000 / bacterial PAMPs,1,plate006_A_1
12,A,plate006,35.0,6127,DC3000 / bacterial PAMPs,1,plate006_A_1
13,A,plate006,37.5,6485,DC3000 / bacterial PAMPs,1,plate006_A_1
14,A,plate006,40.0,6749,DC3000 / bacterial PAMPs,1,plate006_A_1
15,A,plate006,42.5,6715,DC3000 / bacterial PAMPs,1,plate006_A_1
16,A,plate006,47.5,6831,DC3000 / bacterial PAMPs,1,plate006_A_1
17,A,plate006,50.0,6989,DC3000 / bacterial PAMPs,1,plate006_A_1
18,A,plate006,52.5,7466,DC3000 / bacterial PAMPs,1,plate006_A_1
19,A,plate006,55.0,7642,DC3000 / bacterial PAMPs,1,plate006_A_1
20,A,plate006,57.5,7804,DC3000 / bacterial PAMPs,1,plate006_A_1
21,A,plate006,60.0,8160,DC3000 / bacterial PAMPs,1,plate006_A_1
22,A,plate006,62.5,7968,DC3000 / bacterial PAMPs,1,plate006_A_1
23,A,plate006,65.0,8682,DC3000 / bacterial PAMPs,1,plate006_A_1
24,A,plate006,70.0,8970,DC3000 / bacterial PAMPs,1,plate006_A_1
25,A,plate006,72.5,9084,DC3000 / bacterial PAMPs,1,plate006_A_1
26,A,plate006,75.0,9761,DC3000 / bacterial PAMPs,1,plate006_A_1
27,A,plate006,77.5,10103,DC3000 / bacterial PAMPs,1,plate006_A_1
28,A,plate006,80.0,9841,DC3000 / bacterial PAMPs,1,plate006_A_1
29,A,plate006,82.5,10087,DC3000 / bacterial PAMPs,1,plate006_A_1
30,A,plate006,85.0,10917,DC3000 / bacterial PAMPs,1,plate006_A_1
31,A,plate006,87.5,10689,DC3000 / bacterial PAMPs,1,plate006_A_1
32,A,plate006,92.5,10909,DC3000 / bacterial PAMPs,1,plate006_A_1
33,A,plate006,95.0,11217,DC3000 / bacterial PAMPs,1,plate006_A_1
34,A,plate006,97.5,11039,DC3000 / bacterial PAMPs,1,plate006_A_1
35,A,plate006,100.0,11209,DC3000 / bacterial PAMPs,1,plate006_A_1
36,A,plate006,102.5,11624,DC3000 / bacterial PAMPs,1,plate006_A_1
37,A,plate006,105.0,11426,DC3000 / bacterial PAMPs,1,plate006_A_1
38,A,plate006,107.5,11390,DC3000 / bacterial PAMPs,1,plate006_A_1
39,A,plate006,110.0,11231,DC3000 / bacterial PAMPs,1,plate006_A_1
40,A,plate006,115.0,11193,DC3000 / bacterial PAMPs,1,plate006_A_1
41,A,plate006,117.5,11287,DC3000 / bacterial PAMPs,1,plate006_A_1
42,A,plate006,120.0,11357,DC3000 / bacterial PAMPs,1,plate006_A_1
43,A,plate006,122.5,11127,DC3000 / bacterial PAMPs,1,plate006_A_1
44,A,plate006,125.0,10961,DC3000 / bacterial PAMPs,1,plate006_A_1
45,A,plate006,127.5,11093,DC3000 / bacterial PAMPs,1,plate006_A_1
46,A,plate006,130.0,10943,DC3000 / bacterial PAMPs,1,plate006_A_1
47,A,plate006,132.5,11235,DC3000 / bacterial PAMPs,1,plate006_A_1
48,A,plate006,137.5,11183,DC3000 / bacterial PAMPs,1,plate006_A_1
49,A,plate006,140.0,11676,DC3000 / bacterial PAMPs,1,plate006_A_1
50,A,plate006,142.5,11976,DC3000 / bacterial PAMPs,1,plate006_A_1
51,A,plate006,145.0,12532,DC3000 / bacterial PAMPs,1,plate006_A_1
52,A,plate006,147.5,13137,DC3000 / bacterial PAMPs,1,plate006_A_1
53,A,plate006,150.0,13053,DC3000 / bacterial PAMPs,1,plate006_A_1
54,A,plate006,152.5,13851,DC3000 / bacterial PAMPs,1,plate006_A_1
55,A,plate006,155.0,14111,DC3000 / bacterial PAMPs,1,plate006_A_1
56,A,plate006,160.0,14260,DC3000 / bacterial PAMPs,1,plate006_A_1
57,A,plate006,162.5,14680,DC3000 / bacterial PAMPs,1,plate006_A_1
58,A,plate006,165.0,14912,DC3000 / bacterial PAMPs,1,plate006_A_1
59,A,plate006,167.5,15216,DC3000 / bacterial PAMPs,1,plate006_A_1
60,B,plate006,2.5,4947,DC3000 / bacterial PAMPs,1,plate006_B_1
61,B,plate006,5.0,3338,DC3000 / bacterial PAMPs,1,plate006_B_1
62,B,plate006,7.5,3164,DC3000 / bacterial PAMPs,1,plate006_B_1
63,B,plate006,10.0,3612,DC3000 / bacterial PAMPs,1,plate006_B_1
64,B,plate006,12.5,4242,DC3000 / bacterial PAMPs,1,plate006_B_1
65,B,plate006,15.0,4833,DC3000 / bacterial PAMPs,1,plate006_B_1
